odate,news
"August 31, 1998","Aug. 31, 1998: North Korea fires off its first ballistic missile, the Unha-1, also known as the Taepodong-1, from the launch site of Musudan-ri in North Hamgyong Province."
"July 4, 2006","July 4, 2006: North Korea test-fires an advanced version of the Taepodong-2 missile at the Musudan-ri launch site."
"April 5, 2009","April 5, 2009: North Korea launches the Unha-2 rocket at the Musudan-ri launch site with the attendance of leader Kim Jong-il and his son, Kim Jong-un."
"April 13, 2012","April 13, 2012: North Korea fires off a long-range rocket, the Unha-3, from the Dongchang-ri launch site in North Pyongan Province. But the rocket crashes in pieces into the sea shortly after takeoff."
"December 1, 2012","Dec. 1, 2012: North Korea says it will launch a working satellite, the Kwangmyongsong-3, on the carrier rocket Unha-3, between Dec. 10 and 22."
"December 10, 2012","Dec. 10, 2012: North Korea extends the rocket launch window until Dec. 29, citing technical problems in the first-stage control engine module."
"December 12, 2012","Dec. 12, 2012: North Korea launches a long-range rocket from the Dongchang-ri launch site in North Pyongan Province."
"May 8, 2015","May 8, 2015: North Korea for the first time tests a submarine-launched ballistic missile (SLBM), dubbed KN-11.  Seoul said that it was more of a test for the ejection rather than firing."
"November 28, 2015","Nov. 28, 2015: North Korea fires off an SLBM in the East Sea, but Seoul views the test as a failure."
"December 21, 2015","Dec. 21, 2015: South Korea's military says North Korea conducted another SLBM test in December, but the test ended in failure. The Washington Free Beacon reported that North Korea succeeded in the underwater test of a KN-11 missile near the eastern port of Sinpo on Dec. 21, citing unidentified U.S. defense officials."
"February 2, 2016","Feb. 2, 2016: North Korea notifies U.N. agencies of its plan to launch a satellite between Feb. 8 and 25."
"February 6, 2016","Feb. 6, 2016: North Korea informs the International Maritime Organization of its plan to move up the launch date to Feb. 7-14."
"February 7, 2016","Feb. 7, 2016: North Korea fires a long-range rocket from the Dongchang-ri launch site at around 9:30 a.m. The North claims it has successfully placed a satellite, named Kwangmyongsong-4, into orbit."
"March 18, 2016","March 18, 2016: North Korea launches what appears to be two mid-range Rodong ballistic missiles from its western province."
"April 15, 2016","April 15, 2016: North Korea conducts its first test-launch of an intermediate-range Musudan ballistic missile, also known as the BM-25, but the launch ends in failure."
"April 23, 2016","April 23, 2016: North Korea test-fires an SLBM in the East Sea, which flies only about 30 kilometers"
"April 28, 2016","April 28, 2016: North Korea launches two intermediate-range Musudan ballistic missiles, but the launches end in failure."
"May 31, 2016","May 31, 2016: North Korea test-fires an intermediate-range Musudan, but the launch ends in failure."
"June 22, 2016","June 22, 2016: North Korea fires off two intermediate-range Musudan missiles. One missile flies about 400 km, which experts widely view as a success."
"July 9, 2016","July 9, 2016: North Korea launches an SLBM off its east coast, but Seoul says the missile appears to have exploded at an altitude of some 10 kilometers."
"July 19, 2016","July 19, 2016: North Korea test-fires two mid-range Rodong missiles and a shorter-range Scud missile."
"August 3, 2016","Aug. 3, 2016: North Korea fires-off two mid-range Rodong ballistic missiles from near the southwestern area. One missile flies about 1,000 kilometers before falling into Japan's exclusive economic zone (EEZ). "
"August 24, 2016","Aug. 24, 2016: North Korea test-fires an SLBM in waters off its east coast towards Japan. The missile flies about 500 kilometers, making it the longest flight by such a missile."
"October 15, 2016","Oct. 15, 2016: North Korea fires-off an intermediate-range Musudan ballistic missile, but it explodes after launch."
"October 20, 2016","Oct. 20, 2016: North Korea launches what appears to be an intermediate-range Musudan, but the test ends in failure."
"February 12, 2017","Feb. 12, 2017: North Korea launches a new intermediate-range ballistic missile, Pukguksong-2, into the East Sea. Experts say the country appears to apply technology used in the SLBM to have developed a new missile."
"March 6, 2017","March 6, 2017: North Korea fires four ballistic missiles from its the Dongchang-ri launch site toward the East Sea. "
"March 22, 2017","March 22, 2017: North Korea launches a missile from its east coast that is presumed to have failed. The type of the missile is not confirmed."
"April 5, 2017","April 5, 2017: North Korea fires what appears to be a type of KN-15 intermediate-range ballistic missile."
"May 14, 2017","May 14, 2017: North Korea fires a new mid-to-long-range ballistic missile, the Hwasong-12, from a northwest site. It flies about 700 kilometers before landing in the East Sea."
"May 21, 2017","May 21, 2017: North Korea fires the ground-to-ground Pukguksong-2 missile, also known as a KN-15. It flies more than 500 kilometers."
"May 27, 2017","May 27, 2017: North Korea is presumed to have launched a surface-to-air guided missile, believed to be a KN-06, from the eastern region."
"May 29, 2017","May 29, 2017: North Korea fires what is presumed to be a Scud-type ballistic missile. It flies about 450 kilometers."
"June 8, 2017","June 8, 2017: North Korea test-fires multiple surface-to-ship cruise missiles."
"July 4, 2017","July 4, 2017: North Korea launches a ballistic missile from a northwestern province into waters off its east coast. Pyongyang claims that it successfully test-fired an intercontinental ballistic missile and that it reached an altitude of 2,802 kilometers and flew 933 km."
"July 28, 2017","July 28, 2017: North Korea launches a ballistic missile from the northern province of Jagang into the East Sea.(END)
                "
